user_id,norm_implicit,explicit_norm
1000049,2.82843,2.82842712475
1000051,2.44949,2.44948974278
1000082,1.73205,1.73205080757
1000240,2.82843,2.82842712475
1000366,5.47723,5.63718803039
1000450,2.82843,2.82842712475
100050,2.0,2.0
1000505,1.73205,2.44948974278
1000633,2.82843,2.82842712475
1000812,4.0,4.75631159618
1000917,2.44949,2.44948974278
1001005,1.41421,1.41421356237
1001023,1.0,1.0
1001064,1.0,1.0
1001099,4.69042,4.69041575982
10012,2.64575,3.96160180861
1001283,4.79583,4.79583152331
1001290,2.0,2.0
1001539,8.88819,8.88819441732
1001684,1.0,1.0
1001763,2.0,2.0
1001850,5.38516,6.06447762713
1001915,4.58258,4.89897948557
1002013,1.73205,1.94362776529
100202,4.3589,4.35889894354
1002154,2.82843,5.31829755561
1002187,4.24264,4.33332307704
1002222,2.23607,2.2360679775
1002227,4.24264,4.24264068712
1002282,2.82843,4.12310562562
100235,1.0,1.0
1002352,5.56776,5.7879184514
1002413,2.44949,2.44948974278
1002458,3.4641,3.54436171969
1002504,2.44949,2.78888667572
100258,3.60555,3.6379311717
1002610,2.23607,2.2360679775
1002754,2.82843,2.82842712475
1002816,6.63325,7.18052922841
1002891,4.24264,4.58257569496
1002932,1.0,1.0
1002981,1.0,1.0
1003001,4.89898,5.27045433431
1003091,2.82843,2.82842712475
1003169,5.0,5.46008241696
1003355,1.0,1.0
1003434,1.73205,1.73205080757
1003554,1.0,1.0
1003604,1.0,1.0
1003811,2.64575,2.64575131106
1003835,4.79583,5.41410195693
1003839,3.60555,3.60555127546
1003865,4.69042,4.8538644398
1003878,11.5326,13.3655697806
1003929,5.47723,5.47722557505
100399,3.0,3.0
100412,1.0,1.0
100426,1.41421,1.41421356237
10044,2.23607,2.2360679775
1004442,1.0,1.0
1004471,2.82843,2.82842712475
1004540,1.41421,1.41421356237
1004644,4.24264,4.737540384
1004786,2.64575,2.64575131106
1004869,1.0,1.0
1004879,1.41421,2.2360679775
1005053,8.3666,9.81525909592
1005164,3.16228,3.16227766017
100521,2.82843,2.82842712475
1005265,2.23607,2.2360679775
100528,5.91608,5.9160797831
1005299,2.23607,2.2360679775
1005332,1.41421,1.41421356237
1005347,6.0,6.48074069841
1005416,7.07107,7.07106781187
1005418,2.82843,2.82842712475
1005432,1.41421,1.41421356237
1005497,8.60233,8.77496438739
1005612,2.0,2.64575131106
1005659,2.82843,2.82842712475
1005755,1.0,1.0
1005794,2.23607,2.2360679775
1005833,7.74597,7.74596669241
1005851,4.12311,4.27200187266
1005898,2.82843,2.82842712475
1006028,6.0,6.13294582481
1006047,2.0,2.0
1006216,2.44949,2.44948974278
1006286,1.0,1.0
1006490,1.0,1.0
1006503,1.0,1.0
1006550,2.44949,2.44948974278
1006643,1.73205,1.73205080757
1006768,6.08276,8.09666224502
1006791,13.2665,13.8452157802
1007005,2.82843,2.82842712475
1007058,2.0,2.0
1007185,1.0,1.0
1007289,4.3589,4.35889894354
100730,2.64575,2.82134719593
1007305,2.44949,2.44948974278
1007376,6.0,6.4563921814
1007416,1.73205,1.73205080757
1007481,1.0,1.0
1007502,9.0,9.0
1007534,1.41421,1.41421356237
1007543,3.16228,3.16227766017
1007545,2.23607,2.2360679775
1007547,5.19615,5.19615242271
1007751,5.38516,5.38516480713
1007780,1.41421,2.2360679775
1007858,4.69042,5.22406909985
1007866,3.74166,4.12310562562
1007928,1.41421,1.41421356237
1007962,1.73205,1.73205080757
1008014,1.0,1.0
100803,3.74166,3.74165738677
1008137,5.56776,5.70573201088
1008176,6.32456,6.32455532034
1008240,1.0,1.0
1008582,1.0,1.0
1008639,3.16228,3.16227766017
1008646,4.58258,4.58257569496
1008725,2.23607,2.2360679775
1008858,5.47723,5.85234995536
1008931,5.74456,6.22996789719
1008950,4.89898,7.16144603415
100896,4.3589,4.8218253805
1009012,6.245,6.48074069841
1009055,1.73205,1.73205080757
1009116,1.0,1.0
1009171,1.73205,1.73205080757
1009271,3.31662,3.31662479036
1009421,5.09902,5.09901951359
1009474,7.07107,11.0642204393
100951,2.44949,2.44948974278
1009567,1.41421,1.41421356237
1009581,1.41421,1.41421356237
1009650,3.31662,3.31662479036
1009945,5.0,6.5574385243
1010150,,0.0
1010166,2.23607,2.2360679775
1010271,10.0995,11.6025117014
1010291,1.41421,1.41421356237
1010543,1.0,1.0
101064,1.41421,1.41421356237
